CODIGO,nombre,CATEGORIA,FECHA_INSTALACION,altitud,latitud,longitud,FECHA_SUSPENSION,ENTIDAD
11010010,VUELTA LA [11010010],Pluviométrica,1943-01-14 19:00:00,98.0,5.45894444,-76.54472222000001,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11010020,AGRICOLA LLORO GJA  [11010020],Pluviométrica,1952-01-15 00:00:00,120.0,5.5,-76.53333332999999,1959-10-15 00:00:00,MINISTERIO DE AGRICULTURA
11017010,AGUASAL [11017010],Limnimétrica,1976-05-15 00:00:00,75.0,5.47394389,-76.53786111000001,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11017020,BAGADO [11017020],Limnigráfica,2017-12-29 00:00:00,90.0,5.412,-76.41788889,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11020010,CARMEN DE ATRATO [11020010],Pluviométrica,1958-10-15 00:00:00,1850.0,5.90852778,-76.14208332999999,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11020020,GUADUAS [11020020],Pluviométrica,1977-03-15 00:00:00,1500.0,5.76666667,-76.18333333,2002-04-15 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11020050,PINON EL [11020050],Pluviométrica,1958-10-15 00:00:00,715.0,5.75766667,-76.25086111,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11020060,CARMEN EL  [11020060],Pluviométrica,1932-01-15 00:00:00,720.0,5.83333333,-76.66666667,1961-12-15 00:00:00,MINISTERIO DE AGRICULTURA
11025010,MANSA LA [11025010],Climática Ordinaria,1973-07-15 00:00:00,2018.0,5.87830556,-76.08433332999999,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11025501,CARMEN DE ATRATO  - AUT  [11025501],Climática Principal,2013-12-15 19:00:00,1683.0,5.88871944,-76.14516667,,CENTRO NACIONAL DE INVESTIGACIONES DE CAFE
11027010,PUENTE LAS SANCHEZ [11027010],Limnimétrica,1972-08-15 00:00:00,2000.0,5.8519722199999995,-76.18080556000001,2016-01-06 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11027020,OCHO EL [11027020],Limnimétrica,1972-04-15 00:00:00,900.0,5.85,-76.25,1979-02-15 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11027030,EL SIETE - AUT [11027030],Limnigráfica,1979-12-15 00:00:00,2300.0,5.862,-76.15205556000001,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11027040,ARRAYANES LOS [11027040],Limnigráfica,1979-12-15 00:00:00,1500.0,5.8,-76.3,2008-12-10 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11027050,GINDRAMA - AUT [11027050],Limnigráfica,1979-12-15 00:00:00,75.0,5.5215555599999995,-76.51772222000001,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11027060,PINON EL [11027060],Limnimétrica,1959-03-15 00:00:00,1350.0,5.73333333,-76.36666667,1971-11-15 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
11027070,BORAUDO - AUT [11027070],Limnigráfica,2005-04-15 00:00:00,78.0,5.51461111,-76.57569443999999,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
