Station,Statname,Latitude,Longitude,Elevation,Category,Technology,Status,InstDate,SuspDate,State,County,Stream,Operator,AHName,SZName,SZHName,Timezone,Datetime,Clouds,Dewpoint,Feelslike,Humidity,Pressure,Rain,Temp,UVI,Visibility,Winddeg,Windgust,Windspeed,OWMid,OWMmain,OWMdesc,OWMicon,Julian
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-09 00:00:00,75.000000,19.750000,29.520000,61.000000,1011.000000,0.27,27.970000,0.000000,10000.000000,40.000000,,2.570000,500,Rain,light rain,10n,00
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-09 01:00:00,75.000000,19.830000,28.410000,65.000000,1012.000000,0.25,26.970000,0.000000,10000.000000,10.000000,,1.540000,500,Rain,light rain,10n,01
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-09 02:00:00,40.000000,19.830000,28.410000,65.000000,1013.000000,0.69,26.970000,0.000000,10000.000000,0.000000,,1.030000,500,Rain,light rain,10n,02
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-09 03:00:00,40.000000,19.830000,28.410000,65.000000,1013.000000,1.08,26.970000,0.000000,10000.000000,0.000000,,1.030000,501,Rain,moderate rain,10n,03
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-09 04:00:00,46.000000,18.790000,22.200000,83.000000,1015.000000,1.29,21.800000,0.000000,6356.000000,173.000000,1.56,0.940000,501,Rain,moderate rain,10n,04
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-09 05:00:00,47.000000,18.650000,22.050000,83.000000,1015.000000,1.31,21.660000,0.000000,10000.000000,164.000000,1.35,0.830000,501,Rain,moderate rain,10n,05
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-09 06:00:00,44.000000,18.740000,21.770000,85.000000,1014.000000,0.68,21.360000,0.000000,10000.000000,172.000000,1.01,0.550000,500,Rain,light rain,10n,06
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-09 07:00:00,70.000000,18.710000,21.930000,84.000000,1014.000000,0.12,21.530000,0.000000,10000.000000,171.000000,0.71,0.280000,500,Rain,light rain,10n,07
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-09 08:00:00,75.000000,18.820000,21.870000,85.000000,1013.000000,0.15,21.450000,0.000000,10000.000000,148.000000,1,0.650000,500,Rain,light rain,10n,08
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-09 09:00:00,78.000000,18.770000,21.820000,85.000000,1013.000000,,21.400000,0.000000,10000.000000,129.000000,0.81,0.490000,803,Clouds,broken clouds,04n,09
