Station,Statname,Latitude,Longitude,Elevation,Category,Technology,Status,InstDate,SuspDate,State,County,Stream,Operator,AHName,SZName,SZHName,Timezone,Datetime,Clouds,Dewpoint,Feelslike,Humidity,Pressure,Rain,Temp,UVI,Visibility,Winddeg,Windgust,Windspeed,OWMid,OWMmain,OWMdesc,OWMicon,Hour
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-10 00:00:00,20.000000,19.750000,29.520000,61.000000,1009.000000,,27.970000,0.000000,10000.000000,50.000000,,2.060000,801,Clouds,few clouds,02n,00
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-10 01:00:00,20.000000,19.750000,29.520000,61.000000,1010.000000,,27.970000,0.000000,10000.000000,70.000000,,2.060000,801,Clouds,few clouds,02n,01
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-10 02:00:00,96.000000,19.830000,28.410000,65.000000,1011.000000,0.21,26.970000,0.000000,10000.000000,60.000000,,2.060000,500,Rain,light rain,10n,02
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-10 03:00:00,97.000000,19.830000,28.410000,65.000000,1011.000000,0.18,26.970000,0.000000,10000.000000,60.000000,,2.060000,500,Rain,light rain,10n,03
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-10 04:00:00,93.000000,19.220000,23.280000,80.000000,1013.000000,0.39,22.850000,0.000000,10000.000000,144.000000,1.12,0.580000,500,Rain,light rain,10n,04
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-10 05:00:00,86.000000,19.070000,22.910000,81.000000,1013.000000,0.31,22.490000,0.000000,10000.000000,103.000000,1.24,0.610000,500,Rain,light rain,10n,05
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-10 06:00:00,73.000000,19.400000,22.520000,85.000000,1012.000000,0.35,22.040000,0.000000,10000.000000,78.000000,1.07,0.770000,500,Rain,light rain,10n,06
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-10 07:00:00,85.000000,19.560000,22.700000,85.000000,1012.000000,0.28,22.200000,0.000000,10000.000000,120.000000,0.63,0.500000,500,Rain,light rain,10n,07
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-10 08:00:00,89.000000,19.510000,22.460000,86.000000,1011.000000,0.14,21.960000,0.000000,10000.000000,184.000000,0.96,0.720000,500,Rain,light rain,10n,08
21115020,"AEROPUERTO BENITO SALAS [21115020]",2.948750,-75.293056,439.000000,Sinóptica Secundaria,Convencional,Activa,1930-01-15 00:00:00,NaT,Huila,Neiva,Ariari,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Rio Fortalecillas y otros,America/Bogota,2022-01-10 09:00:00,86.000000,19.330000,22.260000,86.000000,1011.000000,0.13,21.780000,0.000000,10000.000000,167.000000,1.3,1.090000,500,Rain,light rain,10n,09
